qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg
3600962747,xylophone,1,0,3
3600962747,xylophone,2,0,3
3600962747,xylophone,3,1,3
3600962747,xylophone,4,1,3
3600962747,xylophone,5,1,3
3600962747,trumpet,1,0,3
3600962747,trumpet,2,0,3
3600962747,trumpet,3,1,3
3600962747,trumpet,4,1,3
3600962747,trumpet,5,1,3
3600962747,piano,1,0,3
3600962747,piano,2,0,3
3600962747,piano,3,0.75,3
3600962747,piano,4,1,3
3600962747,piano,5,1,3
3600962747,violin,1,0,2
3600962747,violin,2,0,2
3600962747,violin,3,1,2
3600962747,violin,4,1,2
3600962747,violin,5,1,2
3600962747,oboe,1,0,3
3600962747,oboe,2,0,3
3600962747,oboe,3,0.75,3
3600962747,oboe,4,1,3
3600962747,oboe,5,1,3
3619423604,xylophone,1,0.75,3
3619423604,xylophone,2,0.75,3
3619423604,xylophone,3,0.875,3
3619423604,xylophone,4,0.75,3
3619423604,xylophone,5,1,3
3619423604,trumpet,1,0,3
3619423604,trumpet,2,0.375,3
3619423604,trumpet,3,0.375,3
3619423604,trumpet,4,0.625,3
3619423604,trumpet,5,0.625,3
3619423604,piano,1,0.625,3
3619423604,piano,2,0.5,3
3619423604,piano,3,0.625,3
3619423604,piano,4,0.875,3
3619423604,piano,5,0.875,3
3619423604,violin,1,0.25,2
3619423604,violin,2,0.75,2
3619423604,violin,3,0.5,2
3619423604,violin,4,1,2
3619423604,violin,5,0.75,2
3619423604,oboe,1,0,2
3619423604,oboe,2,0.375,2
3619423604,oboe,3,0.25,2
3619423604,oboe,4,0.25,2
3619423604,oboe,5,0.25,2
3869729575,xylophone,1,0.125,2
3869729575,xylophone,2,0.25,2
3869729575,xylophone,3,0.125,2
3869729575,xylophone,4,0.375,2
3869729575,xylophone,5,0.5,2
3869729575,trumpet,1,0.25,2
3869729575,trumpet,2,0.625,2
3869729575,trumpet,3,0.75,2
3869729575,trumpet,4,1,2
3869729575,trumpet,5,1,2
3869729575,piano,1,0.375,3
3869729575,piano,2,0.375,3
3869729575,piano,3,0.75,3
3869729575,piano,4,0.625,3
3869729575,piano,5,0.875,3
3869729575,violin,1,0.25,2
3869729575,violin,2,0.125,2
3869729575,violin,3,0.625,2
3869729575,violin,4,0.75,2
3869729575,violin,5,0.75,2
3869729575,oboe,1,0.25,2
3869729575,oboe,2,0.25,2
3869729575,oboe,3,0.5,2
3869729575,oboe,4,0.875,2
3869729575,oboe,5,0.875,2
3981943250,xylophone,1,0,3
3981943250,xylophone,2,0,3
3981943250,xylophone,3,0.375,3
3981943250,xylophone,4,1,3
3981943250,xylophone,5,1,3
3981943250,trumpet,1,0,3
3981943250,trumpet,2,0,3
3981943250,trumpet,3,0.625,3
3981943250,trumpet,4,1,3
3981943250,trumpet,5,1,3
3981943250,piano,1,0,2
3981943250,piano,2,0,2
3981943250,piano,3,0.25,2
3981943250,piano,4,1,2
3981943250,piano,5,1,2
3981943250,violin,1,0,2
3981943250,violin,2,0,2
3981943250,violin,3,0.25,2
3981943250,violin,4,1,2
3981943250,violin,5,1,2
3981943250,oboe,1,0.125,2
