qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg,participant,passed_practice,block_passed_practice,practice_score,Age,Gender,Year,Year_6_TEXT,Major,music_exp,headphone,test_corr
1176432322,xylophone,2,0.125,4,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,xylophone,3,1,4,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,xylophone,4,1,4,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,xylophone,5,1,4,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,trumpet,1,0,3,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,trumpet,2,0,3,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,trumpet,3,1,3,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,trumpet,4,1,3,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,trumpet,5,1,3,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,piano,1,0,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,piano,2,0,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,piano,3,1,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,piano,4,1,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,piano,5,1,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,violin,1,0,1,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,violin,2,0,1,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,violin,3,1,1,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,violin,4,1,1,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,violin,5,1,1,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,oboe,1,0,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,oboe,2,0,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,oboe,3,0.875,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,oboe,4,1,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1176432322,oboe,5,1,2,dw2g8xvmm29hzv,1,1,12,22,Female,Senior,NA,Other (please specify):,30,1,6
1475084897,xylophone,1,0.75,4,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,xylophone,2,0.875,4,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,xylophone,3,0.875,4,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,xylophone,4,0.875,4,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,xylophone,5,0.375,4,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,trumpet,1,0.25,3,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,trumpet,2,0.125,3,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,trumpet,3,0.375,3,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,trumpet,4,0.625,3,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,trumpet,5,0.5,3,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,piano,1,0.375,2,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,piano,2,0.5,2,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,piano,3,0.375,2,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,piano,4,0.875,2,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,piano,5,1,2,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,violin,1,0,1,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,violin,2,0.375,1,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,violin,3,0.25,1,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,violin,4,0.375,1,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,violin,5,0.5,1,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,oboe,1,0,2,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
1475084897,oboe,2,0.25,2,ghbk58xwj3w7v2,1,1,8,20,Male,Sophomore,NA,"Psychology,Other (please specify):",23.7,1,6
